Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.05766312594840668,0.05740181268882175,0.057926829268292686
Logistic,0.995405819295559,1.0,0.9908536585365854
SVC,0.9402261712439418,1.0,0.8871951219512195
IsolationForest,0.0625287356321839,0.03291915442956269,0.6219512195121951
CLF,0.12586206896551722,0.08774038461538461,0.2225609756097561
KNN,0.10518053375196232,0.0708245243128964,0.20426829268292682
MLP,0.17549457562220808,0.09800427655024947,0.8384146341463414
Anomaly,0.14887640449438203,0.08412698412698413,0.6463414634146342
Likelihood,0.22902494331065762,0.18231046931407943,0.3079268292682927
