Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.19177271382065703,0.18870122306348283,0.19494584837545126
Logistic,0.35498671818401356,0.2964905203711174,0.44223826714801445
SVC,0.27079193868861773,0.2563138097796883,0.2870036101083033
IsolationForest,0.3123169023054388,0.19809339150105024,0.7376654632972323
CLF,0.2157177225340818,0.3233173076923077,0.1618531889290012
KNN,0.30852259950528443,0.24631956912028724,0.4127557160048135
MLP,0.35940609214755853,0.24101827140217613,0.7063778580024067
Anomaly,0.38689622190339545,0.32103174603174606,0.48676293622142
Likelihood,0.23736462093862815,0.4747292418772563,0.1582430806257521
