Method,True_val,Random,Logistic,SVC,IsolationForest,CLF,KNN,MLP,Anomaly,Likelihood
True_val,1.0,-0.008161055511079596,0.0,0.0,0.00435368610423259,0.03234208175979547,0.02676154095499772,0.011981734715656334,0.08117544270620725,0.1829369045624455
Random,-0.008161055511079596,1.0,0.0,0.0,0.0030450833075175154,-0.0036835676203137435,-0.010006070477644347,0.001566856025288832,-0.002973948310919239,0.004064921924407994
Logistic,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
SVC,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
IsolationForest,0.00435368610423259,0.0030450833075175154,0.0,0.0,1.0,-0.08142400372133296,-0.07323947719253021,-0.020717054626992804,-0.20951401749834475,-0.03863007331805868
CLF,0.03234208175979547,-0.0036835676203137435,0.0,0.0,-0.08142400372133296,1.0,0.09293963171671604,0.013284648976812141,0.09197506602226357,0.09346606489762055
KNN,0.02676154095499772,-0.010006070477644347,0.0,0.0,-0.07323947719253021,0.09293963171671604,1.0,0.08088350381630172,0.14347433671416787,0.12017185969736477
MLP,0.011981734715656334,0.001566856025288832,0.0,0.0,-0.020717054626992804,0.013284648976812141,0.08088350381630172,1.0,0.11597475789871403,0.03813527321775767
Anomaly,0.08117544270620725,-0.002973948310919239,0.0,0.0,-0.20951401749834475,0.09197506602226357,0.14347433671416787,0.11597475789871403,1.0,0.2798618604745491
Likelihood,0.1829369045624455,0.004064921924407994,0.0,0.0,-0.03863007331805868,0.09346606489762055,0.12017185969736477,0.03813527321775767,0.2798618604745491,1.0
