Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.029173419773095628,0.028125,0.030303030303030304
Logistic,0.0,0.0,0.0
SVC,0.0,0.0,0.0
IsolationForest,0.07124378109452736,0.037859560067681895,0.6026936026936027
CLF,0.08325952170062002,0.056490384615384616,0.15824915824915825
KNN,0.07099143206854346,0.05576923076923077,0.09764309764309764
MLP,0.07860752386299832,0.041617122473246136,0.7070707070707071
Anomaly,0.13986510472133476,0.07817460317460317,0.6632996632996633
Likelihood,0.22091656874265572,0.16967509025270758,0.3164983164983165
