Method,True_val,Random,Logistic,SVC,IsolationForest,CLF,KNN,MLP,Anomaly,Likelihood
True_val,1.0,-0.00011504980751775307,0.027514412457777748,0.02834010153143529,-0.013426284994627613,0.0622600077343719,0.012360341493841798,0.037363590269535285,0.08117544270620725,0.1829369045624455
Random,-0.00011504980751775307,1.0,-0.0006126687846168544,-0.0033859681685031173,-0.0012392342857829863,0.0016968734327836854,0.000562531691364998,-0.003059699836886809,-0.005413501925198405,-0.006803298318602602
Logistic,0.027514412457777748,-0.0006126687846168544,1.0,0.4200598593674483,-0.01303153430287507,0.06411064435731217,0.09916339575732136,0.05990172186438336,0.03741588972584531,0.07540865684194575
SVC,0.02834010153143529,-0.0033859681685031173,0.4200598593674483,1.0,-0.02890551009708142,0.06170151022379167,0.1766554627415522,0.08702133107077004,0.06749602619761363,0.09412597096267994
IsolationForest,-0.013426284994627613,-0.0012392342857829863,-0.01303153430287507,-0.02890551009708142,1.0,-0.05899277659011837,-0.21077570862912376,-0.19466453230373393,-0.3511226097946425,-0.08777385329002985
CLF,0.0622600077343719,0.0016968734327836854,0.06411064435731217,0.06170151022379167,-0.05899277659011837,1.0,0.09353280114694884,0.07671151543380217,0.12638591038800928,0.06837169991208747
KNN,0.012360341493841798,0.000562531691364998,0.09916339575732136,0.1766554627415522,-0.21077570862912376,0.09353280114694884,1.0,0.5530728007526984,0.34709700566518176,0.0458187059100853
MLP,0.037363590269535285,-0.003059699836886809,0.05990172186438336,0.08702133107077004,-0.19466453230373393,0.07671151543380217,0.5530728007526984,1.0,0.30611815445895263,0.07702987113149906
Anomaly,0.08117544270620725,-0.005413501925198405,0.03741588972584531,0.06749602619761363,-0.3511226097946425,0.12638591038800928,0.34709700566518176,0.30611815445895263,1.0,0.2798618604745491
Likelihood,0.1829369045624455,-0.006803298318602602,0.07540865684194575,0.09412597096267994,-0.08777385329002985,0.06837169991208747,0.0458187059100853,0.07702987113149906,0.2798618604745491,1.0
