Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.03460207612456747,0.03558718861209965,0.03367003367003367
Logistic,0.0477326968973747,0.08196721311475409,0.03367003367003367
SVC,0.05045871559633027,0.07913669064748201,0.037037037037037035
IsolationForest,0.055632395881358536,0.029146537842190016,0.6094276094276094
CLF,0.11160318866253321,0.07572115384615384,0.21212121212121213
KNN,0.06803685329553509,0.04308797127468582,0.16161616161616163
MLP,0.0965323336457357,0.05606967882416984,0.3468013468013468
Anomaly,0.13986510472133476,0.07817460317460317,0.6632996632996633
Likelihood,0.22091656874265572,0.16967509025270758,0.3164983164983165
