Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.030508474576271188,0.030716723549488054,0.030303030303030304
Logistic,0.03982300884955752,0.05806451612903226,0.030303030303030304
SVC,0.04119850187265918,0.046413502109704644,0.037037037037037035
IsolationForest,0.05806248027769013,0.030458533355404733,0.6195286195286195
CLF,0.11691762621789192,0.07932692307692307,0.2222222222222222
KNN,0.06506364922206506,0.04118173679498657,0.15488215488215487
MLP,0.09760858955588092,0.05707762557077625,0.3367003367003367
Anomaly,0.13986510472133476,0.07817460317460317,0.6632996632996633
Likelihood,0.22091656874265572,0.16967509025270758,0.3164983164983165
