Prediction,F1,Precision,Recall
True_val,1.0,1.0,1.0
Random,0.03660565723793677,0.03618421052631579,0.037037037037037035
Logistic,0.0,0.0,0.0
SVC,0.019736842105263157,0.01929260450160772,0.020202020202020204
IsolationForest,0.05961361545538179,0.031529778123783575,0.5454545454545454
CLF,0.11691762621789192,0.07932692307692307,0.2222222222222222
KNN,0.13008130081300814,0.07987711213517665,0.3501683501683502
MLP,0.06873121651639878,0.03575312669929309,0.8855218855218855
Anomaly,0.13986510472133476,0.07817460317460317,0.6632996632996633
Likelihood,0.22091656874265572,0.16967509025270758,0.3164983164983165
