,system,day,errorcodes
0,072,2022-12-07,[22.]
0,030,2013-07-24,[27. 22.]
1,030,2013-09-05,[ 2. 22.]
2,030,2013-09-06,[2.]
3,030,2013-09-08,[2.]
4,030,2015-09-22,[22.]
5,030,2015-09-23,[22.]
6,030,2015-09-24,[22.]
7,030,2018-02-26,[50.  2.]
8,030,2018-02-27,[50.]
9,030,2018-02-28,[50.]
10,030,2018-03-01,[50.  1.]
11,030,2018-03-02,[50.]
12,030,2018-03-03,[50.]
13,030,2018-03-04,[50.  2.]
14,030,2018-03-05,[2. 1.]
15,030,2018-03-06,[ 2. 50.]
16,030,2018-03-07,[50.]
17,030,2018-03-08,[50.]
18,030,2018-03-09,[50.  1.]
19,030,2018-03-10,[1. 2.]
20,030,2018-03-11,[2. 1.]
21,030,2018-03-12,[1. 2.]
22,030,2018-03-13,[1. 2.]
23,030,2018-03-14,[2.]
24,030,2018-03-15,[2. 1.]
25,030,2018-03-16,[ 2. 21.]
26,030,2018-03-17,[21.  2. 50.]
27,030,2018-03-18,[50.]
28,030,2018-03-19,[50.]
29,030,2018-03-20,[50.]
30,030,2018-03-21,[50.]
31,030,2018-03-22,[50.]
32,030,2018-03-23,[50.]
33,030,2018-03-24,[50.]
34,030,2018-03-25,[50.]
35,030,2018-03-26,[50.]
36,030,2018-03-27,[50.]
37,030,2018-03-28,[50.]
38,030,2018-03-29,[50.]
39,030,2018-03-30,[50.]
40,030,2018-03-31,[50.]
41,030,2018-04-01,[50.]
42,030,2018-04-02,[50.]
43,030,2018-04-03,[50.]
44,030,2018-04-04,[50.]
45,030,2018-04-05,[50.]
46,030,2018-04-06,[50.]
47,030,2018-04-07,[50.]
48,030,2018-04-08,[50.]
49,030,2018-04-09,[50.]
50,030,2018-06-21,[22.]
51,030,2020-06-14,[5.]
52,030,2020-06-21,[21.]
53,030,2020-07-15,[21.]
54,030,2020-07-17,[21.]
55,030,2020-07-19,[21.]
0,041,2021-07-28,[26.]
1,041,2021-09-24,[26.]
0,002,2020-02-05,[1. 4.]
1,002,2020-02-13,[4. 1. 8.]
2,002,2020-02-14,[128.]
3,002,2020-02-15,[16.  4.]
4,002,2020-02-19,[ 16. 128.  64.  32.   4.   2.]
5,002,2020-02-20,[ 1.  8. 16.]
6,002,2020-02-25,[  2.  32. 128.  16.]
7,002,2020-03-03,[64.]
8,002,2020-03-04,[16.]
9,002,2020-03-07,[128.  64.]
10,002,2020-03-09,[1.]
11,002,2020-03-12,[64.  1.  4.]
12,002,2020-03-19,[16. 32.]
13,002,2020-03-20,[32.  4. 16.  8.]
14,002,2020-03-22,[  4.  64.   2.  32. 128.   8.]
15,002,2020-04-02,[4.]
16,002,2020-04-03,[ 32. 128.   4.]
17,002,2020-04-04,[64. 16.  8.  1.]
18,002,2020-04-05,[128.   2.   1.  16.]
19,002,2020-04-06,[128.   4.  64.  16.  32.   8.   1.   2.]
20,002,2020-04-07,[137.]
21,002,2020-04-20,[36.  8. 16.  1.  2. 32. 66.]
22,002,2020-04-21,[ 8. 16.]
23,002,2020-04-22,[  4.   8.  64. 128.  16.   1.]
24,002,2020-05-05,[1. 4.]
25,002,2020-05-06,[ 49. 128.]
26,002,2020-05-07,[ 1.  4. 16.]
27,002,2020-05-23,[64.  8. 16. 32.]
28,002,2020-06-05,[4. 1.]
29,002,2020-06-08,[1. 2.]
30,002,2020-06-22,[  4.  32.   1. 128.  80.]
31,002,2020-06-23,[  4.  16. 128.  64.  32.   8.]
32,002,2020-06-24,[128.   4.   1.  64.]
33,002,2020-07-08,[128.]
34,002,2020-07-09,[ 64.  16.   8. 128.  32.]
35,002,2020-07-23,[8. 4.]
36,002,2020-07-25,[ 8. 64. 16.]
37,002,2020-08-08,[ 1. 16.  8.  2.]
38,002,2020-08-09,[  2. 128.]
39,002,2020-08-24,[  8.  16. 128.]
40,002,2020-09-08,[96.]
41,002,2020-09-09,[  8.   4.  64.  20.   2.  32. 128.]
42,002,2020-09-24,[ 8. 16.]
43,002,2020-09-25,[32.  1.]
44,002,2020-10-09,[16.  1.  4.  8.]
45,002,2020-10-10,[ 8. 64. 32.]
46,002,2020-10-25,[32. 16.  1.]
47,002,2020-10-26,[128.   4.  16.]
48,002,2020-11-06,[1.]
49,002,2020-11-26,[64.  4.]
50,002,2020-12-11,[32.  2. 64. 16.]
51,002,2020-12-12,[16.]
52,002,2020-12-25,[128.]
53,002,2020-12-26,[8.]
54,002,2021-01-12,[128.   4.]
55,002,2021-01-24,[  2. 128.]
56,002,2021-01-25,[16.  1.]
57,002,2021-01-26,[  2.  64.  32.   4. 128.   8.   1.   5.]
58,002,2021-01-27,[ 4. 16.]
59,002,2021-01-28,[  2.  16.   4. 128.  64.   8.  17.  96.]
60,002,2021-02-10,[40. 16.]
61,002,2021-02-11,[ 8. 64. 32. 16.]
62,002,2021-02-12,[ 2. 64. 32.  8. 16.  1.]
63,002,2021-02-26,[  1. 128.  64.   2.   4.]
64,002,2021-02-27,[1. 2.]
65,002,2021-02-28,[16.  1. 12.  4.]
66,002,2021-03-16,[1.]
67,002,2021-03-28,[16.]
68,002,2021-03-29,[4.]
69,002,2021-05-15,[128.]
70,002,2021-05-17,[16.  8.]
71,002,2022-01-01,[26.]
72,002,2022-01-02,[26.]
73,002,2022-01-03,[26.]
74,002,2022-01-05,[26.]
75,002,2022-01-09,[26.]
76,002,2022-01-10,[26.]
77,002,2022-01-12,[26.]
78,002,2022-01-13,[26.]
79,002,2022-01-15,[26.]
80,002,2022-01-16,[26.]
81,002,2022-01-17,[26.]
82,002,2022-01-18,[26.]
83,002,2022-01-19,[26.]
84,002,2022-01-20,[26.]
85,002,2022-01-21,[26.]
86,002,2022-01-22,[26.]
87,002,2022-01-23,[26.]
88,002,2022-01-24,[26.]
89,002,2022-01-25,[26.]
90,002,2022-01-26,[26.]
91,002,2022-01-27,[26.]
92,002,2022-01-28,[26.]
93,002,2022-01-29,[26.]
94,002,2022-01-30,[26.]
95,002,2022-01-31,[26.]
96,002,2022-02-01,[26.]
97,002,2022-02-02,[26.]
98,002,2022-02-03,[26.]
99,002,2022-02-04,[26.]
100,002,2022-02-05,[26.]
101,002,2022-02-06,[26.]
102,002,2022-02-07,[26.]
103,002,2022-02-08,[26.]
0,052,2018-02-12,[10.]
1,052,2019-02-12,[10.]
2,052,2019-03-04,[49.]
3,052,2019-03-05,[49.]
4,052,2019-03-07,[49.]
5,052,2019-03-08,[49.]
6,052,2019-03-09,[49.]
7,052,2019-03-10,[49.]
8,052,2019-03-13,[49.]
9,052,2019-03-14,[49.]
10,052,2019-03-15,[49.]
11,052,2019-03-16,[49.]
12,052,2019-03-17,[49.]
13,052,2019-03-20,[49.]
14,052,2019-03-21,[49.]
15,052,2019-03-22,[49.]
16,052,2019-03-23,[49.]
17,052,2019-03-25,[49.]
18,052,2019-03-27,[49.]
19,052,2019-03-28,[49.]
20,052,2019-03-29,[49.]
21,052,2019-03-30,[49.]
22,052,2019-03-31,[49.]
23,052,2019-04-03,[49.]
24,052,2019-04-04,[49.]
25,052,2019-04-05,[26.]
26,052,2019-04-09,[10.]
27,052,2020-04-11,[10.]
28,052,2021-04-11,[10.]
29,052,2021-10-16,[49.]
30,052,2021-10-17,[49.]
31,052,2021-10-18,[49.]
32,052,2021-10-19,[49.]
33,052,2021-10-20,[49.]
34,052,2021-10-21,[49.]
35,052,2021-10-23,[49.]
36,052,2021-10-25,[49.]
37,052,2021-10-26,[49.]
38,052,2021-10-29,[49.]
39,052,2021-10-30,[49.]
40,052,2021-10-31,[49.]
41,052,2021-11-01,[49.]
42,052,2021-11-02,[49. 27. 22.]
43,052,2021-11-04,[49.]
44,052,2021-11-05,[49.]
45,052,2021-11-06,[49.]
46,052,2021-11-07,[49.]
47,052,2021-11-11,[49.]
48,052,2022-01-13,[49.]
49,052,2022-01-14,[49.]
50,052,2022-03-24,[49.]
51,052,2022-03-26,[49.]
52,052,2022-04-04,[10.]
53,052,2022-04-18,[49.]
54,052,2022-04-19,[49.]
55,052,2022-04-20,[49.]
56,052,2022-04-21,[49.]
57,052,2022-04-22,[49.]
58,052,2022-04-23,[49.]
59,052,2022-04-24,[49.]
60,052,2022-04-25,[49.]
61,052,2022-04-26,[49.]
62,052,2022-04-27,[49.]
63,052,2022-04-30,[49.]
64,052,2022-05-01,[49.]
65,052,2022-05-02,[49.]
66,052,2022-05-03,[49.]
67,052,2022-05-05,[49.]
68,052,2022-05-06,[49.]
69,052,2022-05-07,[49.]
70,052,2022-05-08,[49.]
71,052,2022-05-09,[49.]
72,052,2022-05-10,[49.]
73,052,2022-05-11,[49.]
74,052,2022-05-12,[49.]
75,052,2022-05-13,[49.]
76,052,2022-09-21,[10.]
