,system,days_total,days_fault,faults
0,072,79,1,"[0.0, 22.0]"
1,030,3070,56,"[0.0, 27.0, 22.0, 2.0, 50.0, 1.0, 21.0, 5.0]"
2,041,1976,2,"[0.0, 26.0]"
3,038,46,0,[0.0]
4,063,357,0,[0.0]
5,002,739,104,"[0.0, 1.0, 4.0, 8.0, 128.0, 16.0, 64.0, 32.0, 2.0, 137.0, 36.0, 66.0, 49.0, 80.0, 96.0, 20.0, 5.0, 17.0, 40.0, 12.0, 26.0]"
6,077,73,0,[0.0]
7,905,691,0,[0.0]
8,052,2800,89,"[0.0, 10.0, 49.0, 26.0, 27.0, 22.0]"
9,903,163,2,"[0.0, 1.0, 27.0, 22.0]"
10,035,216,0,[0.0]
11,059,441,200,"[0.0, 21.0, 4.0, 22.0, 24.0, 2.0, 1.0, 7.0]"
12,027,271,14,"[0.0, 37.0, 22.0]"
13,044,12,3,"[0.0, 37.0]"
14,014,167,55,"[0.0, 4.0, 37.0]"
15,062,255,0,[0.0]
16,902,3334,16,"[0.0, 26.0, 5.0, 22.0, 27.0, 12.0, 21.0, 1.0, 23.0]"
17,048,311,5,"[0.0, 34.0]"
18,058,145,0,[0.0]
19,047,125,4,"[0.0, 34.0]"
20,047,552,51,"[0.0, 128.0, 4.0, 32.0, 64.0, 8.0, 2.0, 20.0, 1.0, 16.0, 24.0, 136.0, 34.0, 192.0, 132.0, 17.0, 130.0, 25.0]"
21,066,0,0,[]
22,001,397,2,"[0.0, 5.0]"
23,005,366,193,"[0.0, 26.0, 22.0]"
24,026,193,1,"[0.0, 35.0]"
25,015,805,74,"[0.0, 4.0, 32.0, 64.0, 1.0, 16.0, 8.0, 66.0, 2.0, 128.0, 136.0, 18.0, 144.0, 20.0, 36.0, 65.0, 129.0, 10.0, 132.0]"
26,070,16,2,"[0.0, 4.0]"
27,053,344,0,[0.0]
28,007,516,47,"[0.0, 24.0, 22.0]"
29,040,2513,43,"[0.0, 7.0, 24.0, 22.0, 2.0, 5.0]"
30,054,406,75,"[0.0, 2.0]"
31,065,406,75,"[0.0, 2.0]"
32,033,408,0,[0.0]
33,069,46,0,[0.0]
34,037,586,181,"[0.0, 37.0, 24.0]"
35,012,118,11,"[0.0, 12.0]"
36,013,617,0,[0.0]
37,050,1403,45,"[0.0, 4.0, 22.0, 21.0, 23.0]"
38,049,714,4,"[0.0, 23.0, 26.0, 12.0]"
39,074,73,0,[0.0]
40,064,34,2,"[0.0, 1.0, 21.0]"
41,003,876,29,"[0.0, 3.0, 9.0]"
42,031,608,18,"[0.0, 22.0, 27.0]"
43,904,233,0,[0.0]
44,061,115,7,"[0.0, 22.0]"
45,045,279,30,"[0.0, 4.0, 1.0, 2.0, 8.0, 9.0]"
46,025,292,0,[0.0]
47,023,1714,1,"[0.0, 50.0]"
48,032,0,0,[]
49,046,279,1,"[0.0, 48.0]"
50,075,102,0,[0.0]
51,068,366,193,"[0.0, 26.0, 22.0]"
52,067,709,104,"[0.0, 1.0, 4.0, 8.0, 128.0, 16.0, 64.0, 32.0, 2.0, 137.0, 36.0, 66.0, 49.0, 80.0, 96.0, 20.0, 5.0, 17.0, 40.0, 12.0, 26.0]"
53,060,242,0,[0.0]
54,036,13,0,[0.0]
55,036,8,0,[0.0]
56,036,130,3,"[27.0, 22.0, 0.0, 13.0]"
57,034,2836,286,"[0.0, 12.0, 5.0, 2.0, 23.0, 1.0, 7.0]"
58,029,2283,29,"[0.0, 5.0, 37.0]"
59,076,73,0,[0.0]
60,016,1,1,"[0.0, 37.0]"
61,043,559,0,[0.0]
62,051,199,2,"[0.0, 5.0]"
63,028,265,5,"[0.0, 37.0, 26.0]"
